column,data_source
Age,IBM_synthetic_benchmark
Attrition,IBM_synthetic_benchmark
BusinessTravel,IBM_synthetic_benchmark
DailyRate,IBM_synthetic_benchmark
Department,IBM_synthetic_benchmark
DistanceFromHome,IBM_synthetic_benchmark
Education,IBM_synthetic_benchmark
EducationField,IBM_synthetic_benchmark
EmployeeNumber,IBM_synthetic_benchmark
EnvironmentSatisfaction,IBM_synthetic_benchmark
Gender,IBM_synthetic_benchmark
HourlyRate,IBM_synthetic_benchmark
JobInvolvement,IBM_synthetic_benchmark
JobLevel,IBM_synthetic_benchmark
JobRole,IBM_synthetic_benchmark
JobSatisfaction,IBM_synthetic_benchmark
MaritalStatus,IBM_synthetic_benchmark
MonthlyIncome,IBM_synthetic_benchmark
MonthlyRate,IBM_synthetic_benchmark
NumCompaniesWorked,IBM_synthetic_benchmark
OverTime,IBM_synthetic_benchmark
PercentSalaryHike,IBM_synthetic_benchmark
PerformanceRating,IBM_synthetic_benchmark
RelationshipSatisfaction,IBM_synthetic_benchmark
StockOptionLevel,IBM_synthetic_benchmark
TotalWorkingYears,IBM_synthetic_benchmark
TrainingTimesLastYear,IBM_synthetic_benchmark
WorkLifeBalance,IBM_synthetic_benchmark
YearsAtCompany,IBM_synthetic_benchmark
YearsInCurrentRole,IBM_synthetic_benchmark
YearsSinceLastPromotion,IBM_synthetic_benchmark
YearsWithCurrManager,IBM_synthetic_benchmark
Attrition_flag,derived_from_IBM
WellbeingIndex,derived_from_IBM
ISCO2_code,crosswalk_IBM_to_EWCS
ISCO2_label,crosswalk_IBM_to_EWCS
EWCS_OccWellbeing,EWCS_external_benchmark
RoleMeanWellbeing,derived_from_IBM
WellbeingGap_vsRole,derived_from_IBM
AnnualSalary,derived_from_IBM
ReplacementMultiplier,literature
Cost_AttritionIfLeaves,derived_IBM_x_literature
DailyWage,derived_from_IBM
Cost_AbsenceAnnual,derived_IBM_x_ONS
Cost_PMIproxy,industry_benchmark
